input,reference,greedy,beam
"49 : 11 bind his foal unto vine , his as ' s colt unto choice vine ; he wash his garment in wine , his clothes in blood of grape : 49 : 12 his eye shall be red with wine , his teeth white with milk","49 : 11 binding his foal unto the vine , and his ass ' s colt unto the choice vine ; he washed his garments in wine , and his clothes in the blood of grapes : 49 : 12 his eyes shall be red with wine ,","49 : 11 and bind his hallowed unto the vines , and his ass ' s colt unto the choice vines ; and he washed his garment in wine , and his clothes in the blood of grapes : 49 : 12 and his eyes shall be red","49 : 11 and bind his hallowed unto the vines , and his ass ' s colt unto the choice vines ; and he washed his garment in wine , and his clothes in the blood of grapes : 49 : 12 and his eyes shall be red"
"cry within , flye , flye , flye .","cry within , flye , flye , flye .","cried within , flye , flye , flye .","cried within , flye , flye , flye ."
"for well i understand in prime end of nature her inferiour , in mind inward faculty , which most excel ; in outward also her resemble less his image who make , less express character of dominion give o ' er other creature : yet when i approach","for well i understand in the prime end of nature her the inferiour , in the mind and inward faculties , which most excel ; in outward also her resembling less his image who made both , and less expressing the character of that dominion given o '","for well i understood in the prime end of nature to her inferiour , in mind inward , which most excel ; in outward also her closset and less and less his images who made , less express the character of dominion to give o ' er other","for well i understood in the prime end of nature her inferiour , in mind inward , which most excel ; and in outward also her closset and less and less his images who made , less express the character of dominion to give o ' er other"
"land of pastoral plain , grass - field of world !","land of the pastoral plains , the grass - fields of the world !","land of the hatter plain , grass - fields of the world !","land of the hatter plain , grass - fields of the world !"
"call claudio , other of my men , ile haue them sleepe on cushion in my tent","call claudio , and some other of my men , ile haue them sleepe on cushions in my tent","call the claudio , the other of my men , ile haue them sleepe on cushions in my tent","call the claudio , the other of my men , ile haue them sleepe on cushions in my tent"
17 : 4 a wicked doer giveth heed false lip ; liar giveth ear naughty tongue .,17 : 4 a wicked doer giveth heed to false lips ; and a liar giveth ear to a naughty tongue .,17 : 4 a wicked doer giveth heed false lips ; and the liars giveth ear naughty tongue .,17 : 4 a wicked doer giveth heed false lips ; and the liars giveth ear naughty tongue .
"he ' s right , be yarman .""","he ' s all right , is the yarman .""","he ' s right , is yarman .""","he ' s right , is yarman ."""
"8 : 28 yet have thou respect unto prayer of thy servant , his supplication , o lord my god , hearken unto cry prayer , which thy servant prayeth before thee day : 8 : 29 that thine eye may be open toward house night day ,","8 : 28 yet have thou respect unto the prayer of thy servant , and to his supplication , o lord my god , to hearken unto the cry and to the prayer , which thy servant prayeth before thee to day : 8 : 29 that thine","8 : 28 yet have thou respect unto the prayer of thy servants , and his supplications , o lord my god , hearken unto the cry prayer , which thy servants and coarse before thee this day : 8 : 29 that thine eyes may be opened","8 : 28 yet have thou respect unto the prayer of thy servants , and his supplications , o lord my god , hearken unto the cry prayer , which thy servants prayeth before thee this day : 8 : 29 that thine eyes may be opened toward"
"in word , it be queequeg ' s conceit , that if man make up his mind live , mere sickness could not kill him : nothing whale , gale , violent , ungovernable , unintelligent destroyer of sort .","in a word , it was queequeg ' s conceit , that if a man made up his mind to live , mere sickness could not kill him : nothing but a whale , or a gale , or some violent , ungovernable , unintelligent destroyer of that","in the word , it was queequeg ' s conceit , that if a man make up his mind live , mere sickness could not kill him : nothing whale , gale , violent , and hul the destroyer of a sort .","in a word , it was queequeg ' s conceit , that if a man make up his mind live , mere sickness could not kill him : nothing whale , gale , violent , dwelleth the destroyer the destroyer of a sort ."
thus do job continually .,thus did job continually .,thus did job continually .,thus did job continually .
he that doeth good be of god : he that doeth evil hath not see god .,he that doeth good is of god : but he that doeth evil hath not seen god .,he that doeth good is of god : he that doeth evil hath not seen god .,he that doeth good is of god : he that doeth evil hath not seen god .
"mysteriously jet into clear moonlight , starlight , a case might be ; disappear again for one whole day , two day , three ; somehow seeming at distinct repetition be advance still far far in our van , solitary jet seem for ever allure u on .","mysteriously into the clear moonlight , or starlight , as the case might be ; disappearing again for one whole day , or two days , or three ; and somehow seeming at every distinct repetition to be advancing still further and further in our van ,","the duellists mysteriously into cleared moonlight , the starlight , as the case might be ; and disappeared again for one whole day , two days , three ; somehow and seeming at the distinct repetition was advancing still far far far in our van , and solitary","the duellists mysteriously into cleared moonlight , the starlight , as the case might be ; and disappeared again for one whole day , two days , three ; somehow and seeming at the distinct repetition was advancing still far far far in our van , and solitary"
"27 : 4 one thing have i desire of lord , that will i seek after ; that i may dwell in house of lord all day of my life , behold beauty of lord , enquire in his temple .","27 : 4 one thing have i desired of the lord , that will i seek after ; that i may dwell in the house of the lord all the days of my life , to behold the beauty of the lord , and to enquire in his","27 : 4 one thing have i desired of the lord , that will i seek after ; that i may dwell in the house of the lord all the days of my life , behold the beauty of the lord , and enquire in his temple .","27 : 4 one thing have i desired of the lord , that will i seek after ; that i may dwell in the house of the lord all the days of my life , behold the beauty of the lord , and enquire in his temple ."
"46 : 8 when prince shall enter , he shall go in by way of porch of gate , he shall go forth by way thereof .","46 : 8 and when the prince shall enter , he shall go in by the way of the porch of that gate , and he shall go forth by the way thereof .","46 : 8 and when the prince shall enter , he shall go in by the way of the porch of the gate , he shall go forth by the way thereof .","46 : 8 and when the prince shall enter , he shall go in by the way of the porch of the gate , he shall go forth by the way thereof ."
"mary , encourage by kind friend , go on with her little manufacture with increased activity .","mary , encouraged by these kind friends , went on with her little manufacture with increased activity .","mary , encouraging by kind friends , go on with her little manufacture with increased .","mary , encouraging by kind friends , go on with her little manufacture with increased ."
"ere squall come close , other boat have cut loose from their fish return ship in good time .","ere the squall came close to , the other boats had cut loose from their fish and returned to the ship in good time .","ere the squall comes close , the other boat has cut loose from their fish and return to ship in good time .","ere the squall come close , the other boat has cut loose from their fish and return to ship in a good time ."
"her care attention could not be question ; they be , in fact , only too great .","her care and attention could not be questioned ; they were , in fact , only too great .","her care and attention could not be questioned ; they were , in fact , only too great .","her care and attention could not be questioned ; they were , in fact , only too great ."
"now i breathe word of prudence that walk abreast with time , space , reality , that answer pride which refuse lesson it own .","now i breathe the word of the prudence that walks abreast with time , space , reality , that answers the pride which refuses every lesson but its own .","now i breathed the word of prudence that walk abreast with time , space , reality , that answering pride which refuse lessons it own .","now i breathed the word of prudence that walk abreast with time , space , reality , that answering pride which refuse lessons it own ."
"he continue ,","he continued ,","he continued ,","he continued ,"
"44 : 10 they be not humble even unto day , have they fear , walk in my law , in my statute , that i set before you before your father .","44 : 10 they are not humbled even unto this day , neither have they feared , nor walked in my law , nor in my statutes , that i set before you and before your fathers .","44 : 10 they are not humbled even unto this day , have they feared , and walk in my law , in my statutes , that i set before you before your father .","44 : 10 they are not humbled even unto this day , have they feared , and walk in my law , and in my statutes , that i set before you before your father ."
"' one , indeed !'","' one , indeed !'","' one , indeed !'","' one , indeed !'"
"water thus with fish replenish , air with fowl , evening morn  fifth day .","the waters thus with fish replenished , and the air with fowl , evening and morn the fifth day .","water thus with fish and replenish , air with fowls , and the evening morn the fifth fifth day .","water thus with fish and replenish , air with fowls , and the evening morn the fifth fifth day ."
he have reach randalls evening before .,he had reached randalls the evening before .,he had reached randalls the evening before .,he had reached randalls the evening before .
"2 : 1 gather yourselves together , yea , gather together , o nation not desire ; 2 : 2 before decree bring forth , before day pas a chaff , before fierce anger of lord come upon you , before day of lord ' s anger come","2 : 1 gather yourselves together , yea , gather together , o nation not desired ; 2 : 2 before the decree bring forth , before the day pass as the chaff , before the fierce anger of the lord come upon you , before the day","2 : 1 gather yourselves together , yea , gather together , o nations not desire ; 2 : 2 before the decree bring forth , before the day pass as chaff , before fierce anger of the lord came upon you , before the day of the","2 : 1 gather yourselves together , yea , gather together , o nations not desire ; 2 : 2 before the decree bring forth , before the day pass as chaff , before fierce anger of the lord came upon you , before the day of the"
enter  .,enter .,enter .,enter .
"1 : 12 then angel of lord answer say , o lord of host , how long wilt thou not have mercy on jerusalem on city of judah , against which thou hast have indignation threescore ten year ?","1 : 12 then the angel of the lord answered and said , o lord of hosts , how long wilt thou not have mercy on jerusalem and on the cities of judah , against which thou hast had indignation these threescore and ten years ?","1 : 12 then the angel of the lord answered and said , o lord of hosts , how long wilt thou not have mercy on jerusalem on the cities of judah , and against which thou hast had indignation ten years ?","1 : 12 then the angel of the lord answered and said , o lord of hosts , how long wilt thou not have mercy on jerusalem on the cities of judah , and against which thou hast had indignation ten years ?"
"i be tell of whale take near shetland , that have above barrel of herring in his belly .","i was told of a whale taken near shetland , that had above a barrel of in his belly .","i was told of the whale took near , the shetland that has above the barrel of herring in his belly .","i was told of the whale took near , the shetland that has above the barrel of herring in his belly ."
""" who be that ?""",""" who is that ?""",""" who is that ?""",""" who is that ?"""
** be about close of 18th century .,** this was about the close of the 18th century .,** was about the close of the 18th century .,** was about the close of the 18th century .
""" what ' s he do ?""",""" what ' s he doing ?""",""" what ' s he did ?""",""" what ' s he did ?"""
"78 : 24 have rain down manna upon them eat , have give them of corn of heaven .","78 : 24 and had rained down manna upon them to eat , and had given them of the corn of heaven .","78 : 24 and having the rain down manna upon them to eat , and had given them of the corn of heaven .","78 : 24 and having the rain down the manna upon them to eat , and had given them of the corn of heaven ."
"kind of engagement have subsist between willoughby marianne she could not doubt , that willoughby be weary of it , seem equally clear ; for however marianne might still fee her own wish , she could not attribute such behaviour mistake misapprehension of kind .","that some kind of engagement had subsisted between willoughby and marianne she could not doubt , and that willoughby was weary of it , seemed equally clear ; for however marianne might still feed her own wishes , she could not attribute such behaviour to mistake or misapprehension","kind of the engagement had subsisted between willoughby marianne she could not doubt , that willoughby was weary of it , seemed equally clear ; for however marianne might still feed her own wished , she could not attributing such behaviour to recommend of kind . kind .","kind of the engagement had subsisted between willoughby marianne she could not doubt , that willoughby was weary of it , seemed equally clear ; for however marianne might still feed her own wished , she could not attributing such behaviour to recommend of kind . kind ."
marquis cannot deny that he be gentleman .,the marquis cannot deny that he is a gentleman .,the marquis cannot deny that he is a gentleman .,the marquis cannot deny that he is a gentleman .
"it promise be so exciting that everybody promise be there , be , everybody grandfather frog spotty turtle , who didn ' t care go so far away from smile pool .","and it promised to be so exciting that everybody promised to be there , that is , everybody but grandfather frog and spotty the turtle , who didn ' t care to go so far away from the smiling pool .","it promised was so exciting that everybody promised to be there , and was , everybody grandfather frog and spotty turtle , who didn ' t care go so far away from smiling pool .","it promised was so exciting that everybody promised to be there , was , everybody grandfather frog and spotty turtle , who didn ' t care go so far away from smiling pool ."
"17 : 37 statute , ordinance , law , commandment , which he write for you , ye shall observe do for evermore ; ye shall not fear other god .","17 : 37 and the statutes , and the ordinances , and the law , and the commandment , which he wrote for you , ye shall observe to do for evermore ; and ye shall not fear other gods .","17 : 37 and statutes , and ordinances , law , and commandment , which he wrote for you , ye shall observe to do for evermore ; ye shall not fear the other gods .","17 : 37 and statutes , and ordinances , law , commandment , which he wrote for you , ye shall observe to do for evermore ; ye shall not fear the other gods ."
"17 : 8 when they have lift up their eye , they saw man , save jesus only .","17 : 8 and when they had lifted up their eyes , they saw no man , save jesus only .","17 : 8 and when they had lifted up their eyes , they saw a man , save jesus only .","17 : 8 and when they had lifted up their eyes , they saw a man , save jesus only ."
"if we go sea one at time in strict order of succession property , he think it might show whether connected fate follow family a family .","but if we went to sea one at a time in strict order of succession to the property , he thought it might show whether any connected fate followed the family as a family .","if we go to sea one at times in strict order of succession property , he thought it might show whether the idiocy and the fates follow the family as the family .","if we go to sea one at this time in strict order of succession property , he thought it might show whether the fate follow the family as the family ."
15 : 1 soft answer turneth away wrath : grievous word stir up anger .,15 : 1 a soft answer turneth away wrath : but grievous words stir up anger .,15 : 1 and soft answered away wrath : and grievous words stirred up to anger .,15 : 1 and the soft answered and turneth away wrath : and grievous words stirred up to anger .
"do ye heare , let them be well vs ' d : for they be abstract breefe chronicle of time .","do ye heare , let them be well vs ' d : for they are the and breefe chronicles of the time .","do ye heare , let them be well vs ' d : for they are abstracted breefe of time .","do ye heare , let them be well vs ' d : for they are abstracted breefe of time ."
"he be slim yet satisfied figure , clad in suit of pale - grey tweed , so subdue that pattern be imperceptible -- costume that be casual not by mean careless .","he was a slim yet satisfied figure , clad in a suit of pale - grey tweed , so subdued that the pattern was imperceptible -- a costume that was casual but not by any means careless .","he was a slim yet satisfied figure , clad in the suit of pale - grey tweeds , so subdue that pattern was imperceptible -- and the costume that was casual not by any means careless .","he was a slim yet the satisfied figure , clad in the suit of pale - grey tweeds , so subdue that the pattern was imperceptible -- the costume that was casual not by some means careless ."
"thunder split ship , he only smack his lip , a  ' of flip ,-- such funny , sporty , gamy , jesty , joky , hoky - poky lad , be ocean , oh !","thunder the ships , but he only his lips , a ' of this flip ,-- such a funny , sporty , gamy , jesty , joky , hoky - poky lad , is the ocean , oh !","thunder split ships , he only a smack his lips , as ' of flip ,-- such funny , sporty , gamy , jesty , joky , hoky - poky lad , is a ocean , oh !","thunder split ships , he only a smack his lips , as ' of flip ,-- such funny , sporty , gamy , jesty , joky , hoky - poky lad , is a ocean , oh !"
"7 : 5 thou hypocrite , first cast out beam out of thine own eye ; then shalt thou see clearly cast out mote out of thy brother ' s eye .","7 : 5 thou hypocrite , first cast out the beam out of thine own eye ; and then shalt thou see clearly to cast out the mote out of thy brother ' s eye .","7 : 5 and thou hypocrites , first cast out beam out of thine own eyes ; then shalt thou see clearly cast out the mote out of thy brother ' s eyes .","7 : 5 and thou hypocrites , first cast out the beam out of thine own eyes ; then shalt thou see clearly cast out the mote out of thy brother ' s eyes ."
""" now ,"" say queequeg , quietly haul in line , ""  - ee him whale - e eye ; why ,  whale dead .""",""" now ,"" said queequeg , quietly hauling in the line , "" - ee him whale - e eye ; why , whale dead .""",""" now ,"" said queequeg , quietly hauled in the line , "" - ee him a whale - e eyes ; why , whale dead .""",""" now ,"" said queequeg , quietly hauled in the line , "" - ee him the whale - e eyes ; why , the whale dead ."""
"3 : 11 now god himself our father , our lord jesus christ , direct our way unto you .","3 : 11 now god himself and our father , and our lord jesus christ , direct our way unto you .","3 : 11 now god himself our father , our lord jesus christ , and directed our way unto you .","3 : 11 now god himself our father , our lord jesus christ , and directed our way unto you ."
"beyond it lay broad  fall from head of muscari , beside it sealed business letter which , after glance at address , he return elder harrogate .","beyond it lay the broad fallen from the head of muscari , and beside it a sealed business letter which , after a glance at the address , he returned to the elder harrogate .","beyond it lay broad fallen from the head of muscari , beside its business which , after glancing at address , he returned to the elder harrogate .","beyond it lay broad fallen from the head of muscari , beside its business which , after glancing at address , he returned to the elder harrogate ."
"neglect have be visit on head of sinner ; for when poor lady elliot die herself , letter of condolence be receive at kellynch , , consequently , there be too much reason apprehend that dalrymples consider relationship a close .","the neglect had been visited on the head of the sinner ; for when poor lady elliot died herself , no letter of condolence was received at kellynch , and , consequently , there was but too much reason to apprehend that the dalrymples considered the relationship as","neglect had been visited on the head of the sinner ; for when the poor lady elliot died herself , the letter of condolence was received at kellynch , and , consequently , there was too much reason to apprehend that the dalrymples considers by the close","neglect had been visited on the head of the sinner ; for when the poor lady elliot died herself , the letter of condolence was received at kellynch , and , consequently , there was too much reason to apprehend that the dalrymples considered the relationship as close"
"35 : 6 among city which ye shall give unto levite there shall be six city for refuge , which ye shall appoint for manslayer , that he may flee thither : them ye shall add forty two city .","35 : 6 and among the cities which ye shall give unto the levites there shall be six cities for refuge , which ye shall appoint for the manslayer , that he may flee thither : and to them ye shall add forty and two cities .","35 : 6 among the cities which ye shall give unto the levites there shall be six cities for refuge , which ye shall appoint for the idolatrous , that he may flee thither : them ye shall add two cities .","35 : 6 among the cities which ye shall give unto the levites there shall be six cities for a refuge , which ye shall appoint for an contrite , that he may flee thither : them ye shall add two cities ."
""" gracious me !",""" gracious me !",""" gracious me !",""" gracious me !"
enter lucius with gowne .,enter lucius with the gowne .,enter lucius with the gowne .,enter lucius with the gowne .
"4 : 10 thus be vision of mine head in my bed ; i saw , behold tree in midst of earth , height thereof be great .","4 : 10 thus were the visions of mine head in my bed ; i saw , and behold a tree in the midst of the earth , and the height thereof was great .","4 : 10 thus is the vision of mine head in my bed ; i saw , behold the trees in the midst of the earth , and the height thereof is great .","4 : 10 thus is the vision of mine head in my bed ; i saw , behold the trees in the midst of the earth , and the height thereof is great ."
"despite his prosaic appearance generally practical walk of life , father brown be not without certain streak of romance in his composition , though he generally keep his  himself , a many child do .","despite his prosaic appearance and generally practical walk of life , father brown was not without a certain streak of romance in his composition , though he generally kept his to himself , as many children do .","despite his prosaic appearance and generally practical walk of life , father brown was not without certain streaks of romance in his composition , though he generally kept his himself , as many children did .","despite his prosaic appearance and generally practical walk of life , father brown was not without certain streaks of romance in his composition , though he generally kept his himself , as many children did ."
it be certainty .,it is a certainty .,it was certainty .,it was certainty .
10 : 9 whoso removeth stone shall be hurt therewith ; he that cleaveth wood shall be endanger thereby .,10 : 9 whoso removeth stones shall be hurt therewith ; and he that cleaveth wood shall be endangered thereby .,10 : 9 whoso removeth the stones shall be hurt therewith ; and he that cleaveth wood shall be a form thereby .,10 : 9 whoso removeth the stones shall be hurt therewith ; and he that cleaveth wood shall be fulfilled thereby .
lord pooley bound off his chair a if spring have fling him from it .,lord pooley bounded off his chair as if a spring had flung him from it .,lord pooley bound off his chair as if spring had flung him from it .,lord pooley bound off his chair as if spring had flung him from it .
"1 : 9 thing that hath be , it be that which shall be ; that which be do be that which shall be do : there be new thing under sun .","1 : 9 the thing that hath been , it is that which shall be ; and that which is done is that which shall be done : and there is no new thing under the sun .","1 : 9 the thing that hath been , it is that which shall be ; that which is done to be that which shall be done : there is a new thing under the sun .","1 : 9 the thing that hath been , it is that which shall be ; that which is done to be that which shall be done : there is a new thing under the sun ."
"a glad ship of good luck bore down upon moody pequod , barbarian sound of enormous drum come from her forecastle ; draw still nearer , crowd of her men be see stand round her huge try - pot , which , cover with parchment - like poke","as this glad ship of good luck bore down upon the moody pequod , the barbarian sound of enormous drums came from her forecastle ; and drawing still nearer , a crowd of her men were seen standing round her huge try - pots , which , covered","as glad the ship of good luck bore down upon moody the pequod , and the barbarian sound of the enormous drum came from her forecastle ; and drew still nearer , the crowd of her men was seen to stand round her huge tried - pots ,","as glad the ship of good luck bore down upon moody the pequod , and the barbarian sound of the enormous drum came from her forecastle ; and drew still nearer , the crowd of her men was seen to stand round her huge tried - pots ,"
""" i suppose we ' d well follow him outside ,"" he say .",""" i suppose we ' d better follow him outside ,"" he said .",""" i suppose we ' d better follow him outside ,"" he said .",""" i suppose we ' d better follow him outside ,"" he said ."
"41 : 6 if he come see me , he speaketh vanity : his heart gathereth iniquity itself ; when he goeth abroad , he telleth it .","41 : 6 and if he come to see me , he speaketh vanity : his heart gathereth iniquity to itself ; when he goeth abroad , he telleth it .","41 : 6 if he come see me , he speaketh vanity : his heart gathereth iniquity itself ; when he goeth abroad , he telleth it .","41 : 6 if he come see me , he speaketh vanity : his heart gathereth iniquity itself ; when he goeth abroad , he telleth it ."
29 : 19 thou shalt take other ram ; aaron his son shall put their hand upon head of ram .,29 : 19 and thou shalt take the other ram ; and aaron and his sons shall put their hands upon the head of the ram .,29 : 19 and thou shalt take other ram ; and aaron his son shall put their hand upon the head of ram .,29 : 19 and thou shalt take other ram ; and aaron his son shall put their hand upon the head of ram .
"thus old  at heart , he yet live among christian , wear their clothes , try talk their gibberish .","and thus an old at heart , he yet lived among these christians , wore their clothes , and tried to talk their gibberish .","thus old at heart , he yet lived among christian , wear their clothes , and tried to talk their gibberish .","thus old at heart , he yet lived among christian , wear their clothes , and tried to talk their gibberish ."
""" it can ' t be take from u ,"" cried edmund , "" poor orphan though we be , he rich gentleman , a he call himself .",""" it can ' t be taken from us ,"" cried edmund , "" poor orphans though we are , and he a rich gentleman , as he calls himself .",""" it can ' t be taken from us ,"" cried edmund , "" poor orphan though we are , he rich gentlemen , as he called himself .",""" it can ' t be taken from us ,"" cried edmund , "" poor orphan though we are , he rich gentlemen , as he called himself ."
"104 : 1 bless lord , o my soul .","104 : 1 bless the lord , o my soul .","104 : 1 blessed the lord , o my soul .","104 : 1 blessed the lord , o my soul ."
"wee ' l teach you drinke deepe , ere you depart","wee ' l teach you to drinke deepe , ere you depart","wee ' l teach you drinke deepe , ere you depart","wee ' l teach you drinke deepe , ere you depart"
"thus much be say , attend now , i pray you , marvellous -- in particular instance -- almost fatal operation whereby sperm whale ' s great heidelburgh tun be tap .","thus much being said , attend now , i pray you , to that marvellous and -- in this particular instance -- almost fatal operation whereby the sperm whale ' s great heidelburgh tun is tapped .","thus much was said , attending now , i pray you , marvellous -- in particular instances -- almost fatal a noble ship and whereby the sperm whale ' s great heidelburgh is tapping .","thus much was said , attending now , i pray you , marvellous -- in particular instances -- almost fatal the fourth whereby the sperm whale ' s great heidelburgh is tapping ."
"} spirit that form ' d scene [ written in platte canyon , colorado ]","} spirit that form ' d this scene [ written in platte canyon , colorado ]","} spirit that form ' d scene [ and irrational in the platte canyons , colorado ]","} spirit that form ' d scene [ in the platte canyons , colorado ]"
"""' my wrist be sprain with ye !'","""' my wrist is sprained with ye !'","""' my wrists is all sprained with ye !'","""' my wrists is to sprained with ye !'"
"your person , your disposition , accomplishment , manner ; they be present me .""","your person , your disposition , accomplishments , manner ; they were all present to me .""","your person , your dispositions , accomplishment , manners ; they are present me .""","your person , your dispositions , accomplishment , manners ; they are present me ."""
"6 : 12 kine take straight way way of bethshemesh , go along highway , low a they go , turn not aside right hand left ; lord of philistine go after them unto border of bethshemesh .","6 : 12 and the kine took the straight way to the way of bethshemesh , and went along the highway , lowing as they went , and turned not aside to the right hand or to the left ; and the lords of the philistines went after","6 : 12 and the kine took straight the way the way of bethshemesh , and went along the highways , and low as they went , and turned not aside to the right hand to the left ; and the lord of the philistines went after them","6 : 12 and the kine took straight the way the way of bethshemesh , and went along the highways , and low as they went , and turned not aside the right hand to the left ; and the lord of the philistines went after them unto"
"9 : 46 when all men of tower of shechem heard that , they enter into hold of house of god  .","9 : 46 and when all the men of the tower of shechem heard that , they entered into an hold of the house of the god .","9 : 46 and when all the men of the tower of shechem heard that , they entered into hold of the house of god and .","9 : 46 and when all the men of the tower of shechem heard that , they entered into hold of the house of god ."
25 : 4 david heard in wilderness that nabal do shear his sheep .,25 : 4 and david heard in the wilderness that nabal did shear his sheep .,25 : 4 and david heard in the wilderness that nabal did shear his sheep .,25 : 4 and david heard in the wilderness that nabal did shear his sheep .
most like : it harrow me with fear wonder barn .,most like : it me with fear & wonder barn .,most like : it harrow me with fear wonder barn .,most like : it harrow me with fear wonder barn .
"law of past cannot be elude , law of present future cannot be elude , law of living cannot be elude , it be eternal , law of promotion transformation cannot be elude , law of hero good - doer cannot be elude , law of drunkard ,","the law of the past cannot be eluded , the law of the present and future cannot be eluded , the law of the living cannot be eluded , it is eternal , the law of promotion and transformation cannot be eluded , the law of heroes and","the law of the past cannot be eluding , the law of the present cannot the future be eluding , the law of living cannot be elude , it is eternal , the law of promotion cannot be eluding , the law of heroes good good - doers","the law of the past cannot be eluding , the law of the present cannot the future be eluding , the law of living cannot be elude , it is eternal , the law of promotion cannot be eluding , the law of heroes good good - doers"
""" come out ,"" scream little man with stick .",""" come out ,"" screamed the little man with the stick .",""" come out ,"" screamed little man with a stick .",""" come out ,"" screamed little man with a stick ."
there ' s talbot for ye .,there ' s talbot for ye .,there ' s talbot for ye .,there ' s talbot for ye .
119 : 95 wicked have wait for me destroy me : i will consider thy testimony .,119 : 95 the wicked have waited for me to destroy me : but i will consider thy testimonies .,119 : 95 the wicked have waited for me to destroy me : i will consider thy testimonies .,119 : 95 the wicked have waited for me to destroy me : i will consider thy testimonies .
third book of moses : call,the third book of moses : called,the third book of moses : call,the third book of moses : call
after little time glazed corridor begin be light by electricity .,after a little time the glazed corridors began to be lit by electricity .,after a little time and the glazed corridor began to be lit by the electricity .,after a little time and the corridor began to be lit by the electricity .
""" ala , i cannot make him good ,"" say fairy ; he must do for himself .",""" alas , i cannot make him good ,"" said the fairy ; "" he must do that for himself .",""" alas , i cannot make him good ,"" said the fairy ; and he must do for himself .",""" alas , i cannot make him good ,"" said the fairy ; and he must do for himself ."
"give that cannot crave , voiceless , o ' er tire breath nourish innocent lamb , he smell milky garment he crop thy flower while thou sittest smile in his face , wipe his mild  mouth from contagious taint .","giving to those that cannot crave , the voiceless , the o ' er tired the breath doth nourish the innocent lamb , he smells the milky garments he crops thy flowers while thou sittest smiling in his face , wiping his mild and mouth from all","give that cannot crave , voiceless , o ' er tired tired the breath and innocent lambs , he smell the milky garment and garments he crops thy flowers while thou sittest smile in his face , and wiped his mild mouth from contagious and taints .","give that cannot crave , voiceless , o ' er tired tired the breath crowned , he smell the milky garment garments he crops thy flowers while thou sittest smile in his face , and wiped his mild mouth from contagious and taints ."
"1 : 13 o thou inhabitant of lachish , bind chariot swift beast : she be beginning of sin daughter of zion : for transgression of israel be find in thee .","1 : 13 o thou inhabitant of lachish , bind the chariot to the swift beast : she is the beginning of the sin to the daughter of zion : for the transgressions of israel were found in thee .","1 : 13 o thou inhabitants of lachish , and bind chariots swift beasts : she is the beginning of sin daughters of zion : for the transgressions of israel is found in thee .","1 : 13 o thou inhabitants of lachish , and bind chariots swift beasts : she is the beginning of sin daughters of zion : for the transgressions of israel is found in thee ."
"i have nothing do with william ' s want , it really be of very great importance that _i_ should see knightley - day ; it become matter , therefore , of very serious inconvenience that i should have have hot walk purpose .""","i have nothing to do with william ' s wants , but it really is of very great importance that _i_ should see knightley to - day ; and it becomes a matter , therefore , of very serious inconvenience that i should have had this hot walk","i have nothing to do with william ' s want , it really was of very great importance that _i_ should see knightley to - day ; and it became a matter , therefore , of very serious inconvenience that i should have had hot walking to walk","i have nothing to do with william ' s want , it really was of very great importance that _i_ should see knightley to - day ; and it became a matter , therefore , of very serious inconvenience that i should have had hot walking to walk"
"12 : 18 for cause people also meet him , for they hear that he have do miracle .","12 : 18 for this cause the people also met him , for that they heard that he had done this miracle .","12 : 18 for the cause people also meet him , for they heard that he had done miracles .","12 : 18 for the cause people also meet him , for they heard that he had done miracles ."
"you order me , whether you speak not .","you order me , whether you speak or not .","you order to me , whether you speak not .","you ordered me , whether you speak not ."
how be she - day ?,how is she to - day ?,how is she to - day ?,how is she to - day ?
"8 : 19 certain scribe come , say unto him , master , i will follow thee whithersoever thou goest .","8 : 19 and a certain scribe came , and said unto him , master , i will follow thee whithersoever thou goest .","8 : 19 and certain scribe come , saying unto him , master , i will follow thee whithersoever thou goest .","8 : 19 a certain scribe come , saying unto him , master , i will follow thee whithersoever thou goest ."
"oh , ha ?","oh , ha ?","oh , ha ?","oh , ha ?"
"17 : 15 joshua answer them , if thou be great people , then get thee up wood country , cut down for thyself there in land of perizzites of giant , if mount ephraim be too narrow for thee .","17 : 15 and joshua answered them , if thou be a great people , then get thee up to the wood country , and cut down for thyself there in the land of the perizzites and of the giants , if mount ephraim be too narrow for","17 : 15 and joshua answered them , if thou be a great people , then got thee up the wood country , and cut down for thyself there in the land of the perizzites , if the mount ephraim is too narrow for thee .","17 : 15 and joshua answered them , if thou be a great people , then got thee up the wood country , and cut down for thyself there in the land of the perizzites , if the mount ephraim is too narrow for thee ."
there be go be dreyfus case .,there is going to be another dreyfus case .,there was going to be dreyfus case .,there was going to be dreyfus case .
"weston will be with u , it will be quite delightful .","the westons will be with us , and it will be quite delightful .","weston will be with us , and it will be quite delightful delightful .","weston will be with us , and it will be quite delightful delightful ."
"i be horror - struck at  ,  existence of unspeakable terror of whale , which , have be before time , must need exist after humane age be over .","i am horror - struck at this , existence of the unspeakable terrors of the whale , which , having been before all time , must needs exist after all humane ages are over .","i was the horror - struck at , the existence of unspeakable terrors of whales , which , had been before some time , must needs exist after humane age to be over .","i was the horror - struck at , the existence of unspeakable terror of whales , which , had been before some time , must needs exist after humane age to be over ."
"i like fine prospect , not on picturesque principle .","i like a fine prospect , but not on picturesque principles .","i like a fine prospect , not on picturesque principles .","i like a fine prospect , not on picturesque principles ."
